,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,gas_enc,snow
99,6.4,4.4,37,21.92952127659574,10,SP98,0,0,0,0,0
100,5.3,4.1,34,21.92952127659574,9,SP98,0,0,0,0,0
101,26.2,5.8,71,21.0,8,SP98,1,1,0,0,0
102,18.8,5.0,62,21.92952127659574,9,SP98,0,1,0,0,0
103,4.9,6.9,25,21.0,12,SP98,0,1,0,0,0
104,12.4,5.4,18,21.0,11,SP98,1,1,0,0,0
105,22.9,5.3,45,20.5,7,SP98,0,0,0,0,0
106,162.7,5.5,75,23.0,1,SP98,0,0,0,0,0
107,4.9,6.5,26,21.0,1,SP98,0,0,0,0,0
108,11.8,4.7,36,21.0,4,SP98,0,0,0,0,0
109,16.6,5.1,56,21.0,7,SP98,0,0,0,0,0
110,12.4,5.7,37,21.0,7,SP98,0,0,0,0,0
111,15.9,5.4,25,21.0,7,SP98,0,0,0,0,0
112,5.1,8.7,21,23.5,5,SP98,0,0,0,0,0
113,22.4,4.9,66,20.5,7,SP98,0,0,0,0,0
114,31.1,4.7,42,20.5,7,SP98,0,0,0,0,0
115,4.9,6.3,27,20.5,3,SP98,0,0,0,0,0
116,11.8,5.1,26,23.0,4,SP98,0,1,0,0,0
117,22.9,6.0,42,23.0,4,SP98,0,1,0,0,0
118,12.4,4.6,38,23.0,1,SP98,0,1,0,0,1
119,12.9,5.8,40,23.0,4,SP98,0,0,0,0,0
120,11.8,5.1,43,23.0,0,SP98,0,0,0,0,0
121,12.2,5.8,58,23.0,2,SP98,0,0,0,0,0
122,24.8,4.6,55,23.0,3,SP98,0,0,0,0,0
123,14.2,5.6,24,23.0,8,SP98,0,0,0,0,0
124,11.8,4.6,38,23.0,0,SP98,0,1,0,0,1
125,12.2,6.3,57,23.0,0,SP98,0,1,0,0,1
126,24.7,5.5,56,25.0,1,SP98,0,0,0,0,0
127,6.8,4.3,46,24.0,2,SP98,0,0,0,0,0
128,17.3,5.6,37,21.5,1,SP98,0,0,0,0,0
129,11.8,4.3,44,21.5,-3,SP98,0,0,0,0,0
130,15.9,5.7,46,21.5,5,SP98,0,0,0,0,0
131,5.1,6.4,39,21.5,4,SP98,0,0,0,0,0
132,16.1,4.5,33,21.5,6,SP98,0,0,0,0,0
133,11.8,4.5,43,21.5,3,SP98,0,0,0,0,0
134,4.2,6.0,26,21.5,5,SP98,0,0,0,0,0
135,17.4,5.1,30,21.5,5,SP98,0,0,0,0,0
136,23.5,6.0,25,21.5,5,SP98,0,1,0,0,0
137,11.8,4.5,38,21.5,5,SP98,0,1,0,0,0
138,12.3,6.1,61,21.5,10,SP98,0,1,0,0,0
139,16.1,5.4,24,21.5,7,E10,0,1,0,1,0
140,11.8,4.3,40,21.5,10,E10,0,1,0,1,0
141,12.3,5.4,58,21.5,13,E10,0,0,0,1,0
142,12.4,4.3,49,21.5,17,E10,0,0,0,1,0
143,7.0,5.2,25,21.5,17,E10,0,0,0,1,0
144,11.8,4.1,37,21.5,10,E10,0,0,0,1,0
145,20.1,4.4,41,21.5,18,E10,0,0,0,1,0
146,20.8,4.5,45,21.5,10,E10,0,0,0,1,0
147,1.7,10.8,14,21.5,10,E10,0,1,0,1,0
148,35.9,4.7,45,21.5,12,E10,0,0,0,1,0
149,36.9,4.8,52,21.5,5,E10,0,0,0,1,0
150,16.8,4.0,46,21.5,8,E10,0,0,0,1,0
151,9.9,5.0,28,21.5,9,E10,0,0,0,1,0
152,22.9,4.6,61,21.5,7,E10,0,1,0,1,0
153,17.3,5.0,61,21.5,6,E10,1,1,0,1,0
154,11.8,4.3,37,21.5,7,E10,0,0,0,1,0
155,36.6,5.2,80,21.5,7,E10,0,1,0,1,0
156,44.9,4.7,62,21.5,8,E10,0,0,0,1,0
157,11.8,4.2,34,21.5,9,E10,0,1,0,1,0
